Instruccion incorrecta,Instruccion correcta
"addi rd, rs1","addi rd, rs1, imm"
"slti rd, rs1, imm","slti rd, rs1, imm"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"div rd, rs1, rs2","div rd, rs1, rs2"
"add rd, rs1, rs2","add rd, rs1, rs2"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
"or rd, rs1, rs2","or rd, rs1, rs2"
"mulsu rd, rs1","mulsu rd, rs1, rs2"
"xori rd, rs1, imm","xori rd, rs1, imm"
"div rd, rs1, rs2","div rd, rs1, rs2"
"ja rd, address","ja rd, address"
"mulu rd, rs1, rs2","mulu rd, rs1, rs2"
"sb rd, imm, rs2","sb rd, imm, rs2"
"flw rd, imm","flw rd, imm, rs2"
"sub rd, rs1","sub rd, rs1, rs2"
"divu rd, rs1","divu rd, rs1, rs2"
"sub rd, rs1","sub rd, rs1, rs2"
"beq rd, rs1, address","beq rd, rs1, address"
ja rd,"ja rd, address"
"fle.s rd, rs1, rs2","fle.s rd, rs1, rs2"
"andi rd, rs1","andi rd, rs1, imm"
"mul rd, rs1, rs2","mul rd, rs1, rs2"
j imm,j imm
"ori rd, rs1","ori rd, rs1, imm"
"sw rd, imm","sw rd, imm, rs2"
"lw rd, imm","lw rd, imm, rs2"
la rd,"la rd, imm"
"divu rd, rs1, rs2","divu rd, rs1, rs2"
"or rd, rs1","or rd, rs1, rs2"
"srli rd, rs1, imm","srli rd, rs1, imm"
"srl rd, rs1","srl rd, rs1, rs2"
"div rd, rs1, rs2","div rd, rs1, rs2"
"bge rd, rs1, address","bge rd, rs1, address"
"slt rd, rs1, rs2","slt rd, rs1, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
la rd,"la rd, imm"
"xori rd, rs1","xori rd, rs1, imm"
"or rd, rs1","or rd, rs1, rs2"
li rd,"li rd, imm"
"flt.s rd, rs1","flt.s rd, rs1, rs2"
"sltiu rd, rs1","sltiu rd, rs1, imm"
j imm,j imm
"addi rd, rs1, imm","addi rd, rs1, imm"
"lw rd, imm","lw rd, imm, rs2"
"sw rd, imm, rs2","sw rd, imm, rs2"
"sra rd, rs1","sra rd, rs1, rs2"
"xori rd, rs1, imm","xori rd, rs1, imm"
"lbu rd, imm","lbu rd, imm, rs2"
"bne rd, rs1","bne rd, rs1, address"
"blt rd, rs1","blt rd, rs1, address"
"lh rd, imm, rs2","lh rd, imm, rs2"
"slti rd, rs1, imm","slti rd, rs1, imm"
"mulh rd, rs1","mulh rd, rs1, rs2"
"fmsub.s rd, rs1, rs2","fmsub.s rd, rs1, rs2, rs3"
"xori rd, rs1","xori rd, rs1, imm"
"lhu rd, imm","lhu rd, imm, rs2"
"fmadd.s rd, rs1, rs2, rs3","fmadd.s rd, rs1, rs2, rs3"
"slli rd, rs1, imm","slli rd, rs1, imm"
"xor rd, rs1, rs2","xor rd, rs1, rs2"
"fsw rd, imm","fsw rd, imm, rs2"
"sb rd, imm","sb rd, imm, rs2"
"div rd, rs1","div rd, rs1, rs2"
"flw rd, imm","flw rd, imm, rs2"
"srai rd, rs1, imm","srai rd, rs1, imm"
"mv rd, rs","mv rd, rs"
"lh rd, imm","lh rd, imm, rs2"
